time,actual_x,cf_A,cf_L,cf_X,cf_G,cf_noA,cf_noL,cf_noX,cf_noG
2010.7500,82.56315064,96.69873973,92.75556887,87.21988374,102.97998343,83.63035710,87.18560226,92.71911160,78.52934002
2011.0000,81.91418669,96.94310961,93.21058240,85.83254481,102.93625760,82.70084334,86.01251826,93.40602610,77.88584031
2011.2500,80.26007097,95.75415495,94.28638035,84.80936202,102.43383470,82.28713044,83.56811037,92.90642508,76.92121126
2011.5000,81.06882904,96.33380703,94.02928178,85.47162448,102.33110775,82.65553901,84.68130984,93.15983863,77.81136078
2011.7500,80.66435950,95.83513058,94.23146206,85.37172837,102.28215535,82.72967503,84.13760156,92.86925965,77.51507760
2012.0000,84.01887323,96.59625052,92.96324825,89.82358768,102.09526722,85.74945489,89.10054223,92.21492973,81.13085015
2012.2500,84.71781485,96.01091952,93.42424411,90.89365255,102.00007744,87.14770852,89.56060291,92.05408072,82.03063996
2012.5000,85.36554451,95.68221335,92.84088920,92.41007321,102.11161326,88.17090266,90.86930545,91.29293838,82.61927170
2012.7500,84.35278855,94.64721918,92.92224273,91.94740579,102.34870741,88.03471180,89.66895781,90.61963839,81.41031649
2013.0000,83.41912450,93.40828600,93.55851308,91.69765890,102.26401945,88.34956022,88.20769716,89.99772827,80.69877395
2013.2500,83.97749864,93.67171133,93.07184075,92.69368197,102.14823608,88.77133878,89.34349158,89.70798272,81.40486355
2013.5000,84.07638260,93.20894923,92.89353821,93.57996087,102.09451700,89.42727981,89.73092149,89.07273209,81.64417668
2013.7500,85.04406453,93.47930540,92.49115579,94.83938437,102.07687500,90.24807137,91.21225649,88.95383580,82.64679954
2014.0000,84.98502640,94.29828340,92.67155867,93.46338458,102.18009072,89.22512452,90.79135173,90.02216340,82.34261703
2014.2500,84.05793908,92.55133083,93.72995590,93.77192611,101.82761993,90.25252301,89.11762557,89.07773852,82.03070170
2014.5000,85.70741992,93.30315788,93.61584527,95.09515441,101.72293222,91.34502482,91.03992222,89.62369666,83.78424694
2014.7500,86.50178103,93.73817152,93.96550675,95.04654062,101.77999490,91.71158252,91.48970032,90.44912100,84.46528281
2015.0000,86.82670323,93.56190618,94.97472248,95.17601924,101.36412213,92.46269954,91.08725137,90.89460233,85.34564537
