time,actual_y,cf_A,cf_L,cf_X,cf_G,cf_noA,cf_noL,cf_noX,cf_noG
2008.7500,98.73494821,99.77888432,99.60244124,99.03505764,100.30680341,98.87328114,99.04843253,99.61589276,98.35290674
2009.0000,96.18512732,97.84752030,98.57575089,98.30209468,101.37738007,98.11481853,97.38999309,97.66111017,94.69855792
2009.2500,94.29993945,97.50295100,97.32804614,96.74524200,102.53693846,96.34714129,96.52028340,97.10173236,91.61703808
2009.5000,93.47484089,97.64923234,96.97611408,95.67040036,103.01679540,95.26155825,95.92277565,97.23193380,90.29807225
2009.7500,93.04882430,98.14522914,96.60774759,95.48617271,102.74543118,94.33676516,95.83810474,96.96381339,90.11304275
2010.0000,93.18679702,99.19987935,95.53071263,95.96074436,102.57566811,93.46407483,97.05386562,96.61893526,90.38815070
2010.2500,92.86211735,98.88369438,95.56301337,96.30450029,102.31551577,93.47539080,96.72352985,95.97881665,90.34008095
2010.5000,92.98929971,98.86456895,95.24856112,97.07851304,102.16250827,93.66412601,97.21998249,95.38736384,90.64052558
2010.7500,92.90204378,98.83563431,95.08876785,97.43141592,102.02930853,93.62648365,97.31573044,94.97586392,90.69583077
2011.0000,92.81204850,98.95312901,95.24859185,97.13457482,102.03385548,93.41118538,97.04425964,95.16003025,90.59080473
2011.2500,91.91227580,98.04366172,96.06781160,96.91315098,101.50254091,93.41780943,95.33915631,94.50754633,90.23443181
2011.5000,92.01786585,98.32580466,95.98375998,97.05671434,101.38287310,93.26521172,95.54092265,94.48472525,90.45292078
2011.7500,91.69616457,98.00059812,96.16431729,97.03511696,101.31029187,93.26012876,95.04095341,94.18804949,90.21342482
2012.0000,92.14328140,98.35019151,95.80031586,97.97834545,101.00618646,93.43539064,95.92232009,93.78999533,90.97847255
2012.2500,92.19867604,97.97893186,96.19006319,98.19940456,100.92672168,93.87818978,95.62406401,93.66741887,91.13626805
2012.5000,92.07839422,97.81215959,95.97675306,98.50909253,100.96056809,93.92676817,95.72297192,93.26225430,90.99770546
2012.7500,91.65410350,97.28617831,96.00638966,98.41504416,101.16527602,93.99072668,95.24364605,92.91260978,90.38673106
2013.0000,91.14736734,96.51834045,96.48082489,98.36411771,101.06363537,94.24199328,94.27863830,92.47356662,90.00349888
2013.2500,91.02436856,96.60586312,96.32961435,98.56655456,100.88186270,94.04579282,94.31549218,92.17502863,90.05954832
2013.5000,90.74114695,96.29508361,96.36926415,98.74521089,100.76538010,94.07781135,94.00539466,91.74349448,89.90419826
2013.7500,90.84539717,96.43575724,96.22368020,98.99674368,100.71253752,94.05904491,94.26635109,91.62579377,90.06480667
2014.0000,91.13068048,96.95836210,96.12761555,98.72178987,100.89162811,93.81045678,94.62117817,92.13475819,90.15325065
2014.2500,90.45273815,95.79223269,97.00747193,98.78372666,100.51251028,94.31279587,93.13131358,91.45669629,89.88366983
2014.5000,90.92211934,96.19856741,96.99357415,99.04749548,100.43411814,94.41416258,93.64029796,91.69850424,90.43248801
2014.7500,91.37268343,96.49074010,97.09976061,99.03785769,100.57239275,94.58448388,93.99123946,92.15190095,90.74584587
2015.0000,91.40824265,96.23917959,97.81021553,99.06351829,100.21594569,94.91422559,93.38970528,92.20818480,91.14784218
